ファイル名,在留カード番号,氏名,生年月日,性別,国籍,住所,在留資格,在留期間,許可年月日
22TE402_01.jpg,AB12345678CD,YAMADA TARO,1990年12月31日,女,中国,神奈川県横浜市西区かねとみらい2番3-1号,家族滞在,3年（2028年10月23日）,2025年10月23日
22TE429_01.jpg,AB12345678CD,TURNER ELIZABETH,1970年03月31日,男,M.国,神奈川県横浜市西区2番3-1号,留学,1年8月（2026年06月01日）,2024年10月01日
22TE434_01.jpg,AB12345678CD,YAMADA TARO,2000年12月12日,男,日本,東京都渋谷区甲山町5-5,留学,4年1月（2026年05月31日）,2022年04月05日
22TE452_01.jpg,AB12345678CD,洪吉童,2000年12月12日,男,中国,大阪府八尾市上之島町北1丁目16番51号,留学,10月（2026年05月13日）,2025年06月23日
22TE475_01.jpg,AB12345678CD,TURNER ELIZABETH,1985年12月31日,男,中国,東京都世田谷区0丁目0番地00号,留学,1年9月（2026年05月08日）,2024年08月08日
22TE487_01.jpg,AB12345678CD,JOHN SMITH,1970年03月31日,男,中国,東京都渋谷区門山町5-5,留学,2年（2026年05月28日）,2024年05月28日
22TE491_01.jpg,AB12345678CD,TURNER ELIZABETH,1985年12月31日,男,中国,京都都千代田区池田1丁目1番1号8号17202号,留学,1年11月（2026年06月11日）,2024年07月11日
22TE492_01.jpg,AB12345678CD,洪吉童,1970年03月31日,男,中国,東京都千代田区池田町1丁目1番1号池田ハイツ202号,留学,1年11月（2026年06月11日）,2024年07月11日
23TE418_01.jpg,AB12345678CD,YAMADA TARO,1985年12月31日,男,日本,大阪府大阪市上之島町北1丁目16番51号,留学,2年（2027年05月13日）,2027年05月13日
23TE423_01.jpg,AB12345678CD,NGUYEN TRUNG DUC,1987年01月26日,男,日本国,東京都千代田区池田町1丁目1番1号池田町202号,留学,2年（2027年05月22日）,2025年05月22日
23TE425_01.jpg,AB12345678CD,TURNER ELIZABETH,1985年12月31日,男,M. 国,東京都千代田区池田町1丁目1番1号池田町202号,留学,1年11月（2027年5月21日）,2025年05月07日
